Fecha,Importados,R0,Beta,Alpha,Gamma,S,E,I,R,Ia,Confirmados
2021-01-01,1,3.0,0.214285713,0.333333333,0.071428571,50000.0,0.0,1.0,0.0,1.0,1.0
2021-01-02,0,3.0,0.214285713,0.333333333,0.071428571,49999.78571857263,0.21428142737145256,0.928571429,0.071428571,1.0,
2021-01-03,0,3.0,0.214285713,0.333333333,0.071428571,49999.58674296142,0.34182989619114384,0.9336720411408257,0.13775510124489795,1.0714271423857236,
2021-01-04,0,3.0,0.214285713,0.333333333,0.071428571,49999.386674669586,0.4279548894113346,0.9809244800759213,0.20444596092624034,1.1853704410021617,
2021-01-05,0,3.0,0.214285713,0.333333333,0.071428571,49999.17648155117,0.4954963781671152,1.0535100758663067,0.27451199479698135,1.3280220706632881,
2021-01-06,0,3.0,0.214285713,0.333333333,0.071428571,49998.95073538943,0.5560770806864781,1.1434248158369478,0.3497627140502132,1.493187529887161,2.0
2021-01-07,0,3.0,0.214285713,0.333333333,0.071428571,49998.70572310464,0.61573033876054,1.2471106419059101,0.43143591469138454,1.6785465565972948,
2021-01-08,0,3.0,0.214285713,0.333333333,0.071428571,49998.43849408291,0.6777159144436522,1.3632747569239483,0.5205152457216164,1.8837900026455647,
2021-01-09,1,3.0,0.214285713,0.333333333,0.071428571,49997.14637478578,0.7439299069854024,2.4918032937451438,0.6178920134890664,3.10969530723421,3.0
2021-01-10,0,3.0,0.214285713,0.333333333,0.071428571,49996.61245014908,1.0298779082734546,2.561793980673659,0.7958779619743752,3.357671942648034,
2021-01-11,0,3.0,0.214285713,0.333333333,0.071428571,49996.063531163665,1.235504257938244,2.7221013331855968,0.9788632452102963,3.700964578395893,4.0
2021-01-12,0,3.0,0.214285713,0.333333333,0.071428571,49995.480266914834,1.406933754538192,2.9395002770732015,1.1732990535569383,4.11279933063014,
2021-01-13,0,3.0,0.214285713,0.333333333,0.071428571,49994.850425814984,1.5677969366794153,3.198513890538178,1.3832633578023812,4.581777248340559,
2021-01-14,0,3.0,0.214285713,0.333333333,0.071428571,49994.16509279274,1.7305309805496556,3.4926475923839253,1.6117286343271737,5.104376226711099,
2021-01-15,0,3.0,0.214285713,0.333333333,0.071428571,49993.41674471907,1.9020353946162436,3.8200164254597255,1.861203460857748,5.681219886317473,6.0
2021-01-16,0,1.25,0.08928571375,0.333333333,0.071428571,49992.59826278743,2.0865055286832535,4.181169908564012,2.1340617753248643,6.315231683888877,7.0
2021-01-17,0,1.25,0.08928571375,0.333333333,0.071428571,49992.22499120075,1.7642752731692095,4.578016759086,2.4327167670017924,7.010733526087792,
2021-01-18,0,1.25,0.08928571375,0.333333333,0.071428571,49991.81629702068,1.5848776960965738,4.8391073211054145,2.7597179621173566,7.598825283222771,8.0
2021-01-19,0,1.25,0.08928571375,0.333333333,0.071428571,49991.38429953382,1.4885826181210513,5.021749365080448,3.1053684829795545,8.127117848060003,
2021-01-20,1,1.25,0.08928571375,0.333333333,0.071428571,49989.93600193739,1.44068600900554,6.15924718955675,3.4640648640474083,9.62331205360416,9.0
2021-01-21,0,1.25,0.08928571375,0.333333333,0.071428571,49989.38617500034,1.510284276871334,6.19952963355923,3.904011089233213,10.103540722792443,10.0
2021-01-22,0,1.25,0.08928571375,0.333333333,0.071428571,49988.83275742538,1.5602737600469987,6.260134182748957,4.346834631830502,10.60696881457946,
2021-01-23,0,1.25,0.08928571375,0.333333333,0.071428571,49988.273935451325,1.5990044812675381,6.333072996635854,4.793987070772513,11.127060067408367,11.0
2021-01-24,0,1.25,0.08928571375,0.333333333,0.071428571,49987.70860834667,1.6313300926954435,6.413712135670312,5.2463494249609,11.660061560631211,12.0
2021-01-25,2,1.25,0.08928571375,0.333333333,0.071428571,49985.13608902589,1.660072716454846,8.499366540035394,5.704471717617189,14.203838257652583,15.0
2021-01-26,0,1.25,0.08928571375,0.333333333,0.071428571,49984.37743259869,1.8653715720553534,8.44562650527371,6.311569323977131,14.75719582925084,
2021-01-27,0,1.25,0.08928571375,0.333333333,0.071428571,49983.623581372245,1.997432275104012,8.464157996198946,6.914828356448556,15.378986352647502,
