Fecha,Importados,R0,Beta,Alpha,Gamma,S,E,I,R,Ia,Confirmados
2021-01-01,1,3.0,0.214285713,0.333333333,0.071428571,50000.0,0.0,1.0,0.0,1.0,1.0
2021-01-02,0,3.0,0.214285713,0.333333333,0.071428571,49999.78571857263,0.21428142737145256,0.928571429,0.071428571,1.0,
2021-01-03,0,3.0,0.214285713,0.333333333,0.071428571,49999.58674296142,0.34182989619114384,0.9336720411408257,0.13775510124489795,1.0714271423857236,
2021-01-04,0,3.0,0.214285713,0.333333333,0.071428571,49999.386674669586,0.4279548894113346,0.9809244800759213,0.20444596092624034,1.1853704410021617,
2021-01-05,0,3.0,0.214285713,0.333333333,0.071428571,49999.17648155117,0.4954963781671152,1.0535100758663067,0.27451199479698135,1.3280220706632881,
2021-01-06,0,3.0,0.214285713,0.333333333,0.071428571,49998.95073538943,0.5560770806864781,1.1434248158369478,0.3497627140502132,1.493187529887161,2.0
2021-01-07,0,3.0,0.214285713,0.333333333,0.071428571,49998.70572310464,0.61573033876054,1.2471106419059101,0.43143591469138454,1.6785465565972948,
2021-01-08,0,3.0,0.214285713,0.333333333,0.071428571,49998.43849408291,0.6777159144436522,1.3632747569239483,0.5205152457216164,1.8837900026455647,
2021-01-09,1,3.0,0.214285713,0.333333333,0.071428571,49998.14637478578,0.7439299069854024,1.4918032937451438,0.6178920134890664,2.10969530723421,3.0
2021-01-10,0,3.0,0.214285713,0.333333333,0.071428571,49997.82671614147,0.815611915880629,1.6332225516736592,0.7244493909743752,2.357671942648034,
2021-01-11,0,3.0,0.214285713,0.333333333,0.071428571,49997.47675638502,0.8937010339754227,1.7884344370376417,0.8411081439653983,2.62954258100304,4.0
2021-01-12,0,3.0,0.214285713,0.333333333,0.071428571,49997.09354059119,0.9790164834471591,1.9585894652334273,0.9688534601301866,2.927442925363614,
2021-01-13,0,3.0,0.214285713,0.333333333,0.071428571,49996.67386742397,1.0723508231763275,2.14502904604553,1.1087527068074645,3.2537817528529946,
2021-01-14,0,3.0,0.214285713,0.333333333,0.071428571,49996.21424825743,1.1745197156802725,2.3492629605676636,1.2619690663199898,3.611232026887653,
2021-01-15,0,3.0,0.214285713,0.333333333,0.071428571,49995.710871127885,1.2863902737229296,2.5729650358930036,1.4297735624965675,4.002738598389572,6.0
2021-01-16,0,1.25,0.08928571375,0.333333333,0.071428571,49995.15956561907,1.4088990250613853,2.817978577625049,1.6135567782433684,4.431535355868418,7.0
2021-01-17,0,1.25,0.08928571375,0.333333333,0.071428571,49994.907982690565,1.190848945680987,3.0863274026008414,1.8148409611517382,4.901168363752579,
2021-01-18,0,1.25,0.08928571375,0.333333333,0.071428571,49994.632444757466,1.0694372306180908,3.2628250947583006,2.035292917157658,5.2981180119159585,8.0
2021-01-19,0,1.25,0.08928571375,0.333333333,0.071428571,49994.34115195942,1.0042509521425156,3.386245237332994,2.268351851099183,5.654597088432177,
2021-01-20,1,1.25,0.08928571375,0.333333333,0.071428571,49994.03884282907,0.9718097654478619,3.4791208960208304,2.5102265094574348,5.989347405478265,9.0
2021-01-21,0,1.25,0.08928571375,0.333333333,0.071428571,49993.72824424674,0.9584717596203685,3.554548850240507,2.7587351433964424,6.313283993636949,10.0
2021-01-22,0,1.25,0.08928571375,0.333333333,0.071428571,49993.41091388855,0.9563115315927238,3.6201430915387665,3.012631488318815,6.632774579857582,
2021-01-23,0,1.25,0.08928571375,0.333333333,0.071428571,49993.087729706545,0.9607252033787059,3.6803319539067676,3.2712131361629515,6.951545090069719,11.0
2021-01-24,0,1.25,0.08928571375,0.333333333,0.071428571,49992.75917432687,0.9690388489143154,3.7376928357728967,3.5340939884361497,7.271786824209046,12.0
2021-01-25,2,1.25,0.08928571375,0.333333333,0.071428571,49992.425500289406,0.9796999370613915,3.793727726991793,3.8010720465323455,7.594799773524139,15.0
2021-01-26,0,1.25,0.08928571375,0.333333333,0.071428571,49992.08682605258,0.9918075285237926,3.8493138220502554,4.072052596834448,7.921366418884704,
2021-01-27,0,1.25,0.08928571375,0.333333333,0.071428571,49991.74319177021,1.0048393017172712,3.9049653455879856,4.347003582474046,8.25196892806203,
